city,lat,lng,country,iso2,admin_name,capital,population,population_proper,district
Colombo,6.93548,79.84868,Sri Lanka,LK,Western,primary,648034,648034,Colombo
Dehiwala-Mount Lavinia,6.84019,79.87116,Sri Lanka,LK,Western,,219827,219827,Colombo
Maharagama,6.848,79.9265,Sri Lanka,LK,Western,,195355,195355,Colombo
Moratuwa,6.773,79.8816,Sri Lanka,LK,Western,,168280,168280,Colombo
Negombo,7.2083,79.8358,Sri Lanka,LK,Western,,137223,137223,Gampaha
Pita Kotte,6.8905,79.9015,Sri Lanka,LK,Western,,118179,118179,Colombo
Sri Jayewardenepura Kotte,6.88297,79.90708,Sri Lanka,LK,Western,primary,115826,115826,Colombo
Battaramulla South,6.8964,79.9181,Sri Lanka,LK,Western,,75633,75633,Colombo
Kolonnawa,6.9329,79.8848,Sri Lanka,LK,Western,,64887,64887,Colombo
Kotikawatta,6.9269,79.9095,Sri Lanka,LK,Western,,64565,64565,Colombo
Hendala,6.9909,79.883,Sri Lanka,LK,Western,,56978,56978,Gampaha
Welisara,7.0281,79.9014,Sri Lanka,LK,Western,,41306,41306,Gampaha
Homagama,6.844,80.0024,Sri Lanka,LK,Western,,34664,34664,Colombo
Mulleriyawa,6.933,79.9297,Sri Lanka,LK,Western,,33540,33540,Colombo
Kandana,7.048,79.8937,Sri Lanka,LK,Western,,33424,33424,Gampaha
Ja Ela,7.0744,79.8919,Sri Lanka,LK,Western,,32175,32175,Gampaha
Wattala,6.98918,79.89167,Sri Lanka,LK,Western,,30725,30725,Gampaha
Kelaniya,6.9553,79.922,Sri Lanka,LK,Western,,28846,28846,Gampaha
Peliyagoda,6.9685,79.8836,Sri Lanka,LK,Western,,28784,28784,Gampaha
Hanwella Ihala,6.9012,80.0852,Sri Lanka,LK,Western,,22918,22918,Colombo
Gampaha,7.0897,79.9925,Sri Lanka,LK,Western,,9350,9350,Gampaha
Minuwangoda,7.1663,79.9533,Sri Lanka,LK,Western,,7772,7772,Gampaha
Mawalgama,6.9153,80.1302,Sri Lanka,LK,Western,,2033,2033,Colombo
Adikkandiya,7.2522,79.8695,Sri Lanka,LK,Western,,,,Gampaha
Adupe,7.2601,80.1522,Sri Lanka,LK,Western,,,,Gampaha
Agalegedara,7.27319,80.03297,Sri Lanka,LK,Western,,,,Gampaha
